Battery Pack Voltage (V),Battery Current (A),Battery Capacity (Kwh),Internal Resistance (ohm),Voc,SoC (%),Full Charge Battery Capacity (kwh),SoH (%),Available Energy (kwh),Power Drawn (W),Power (kW),Charge Current Capacity (Ah),Duration (hrs),Remainig Energy (kwh),Range150 (km),Speed (km/hr),Range145 (km),Speed (km/hr),Range140 (km),Speed (km/hr)
56.34,7.87,0.4433958,0.199115044,57.9070354,95.6011596,3.183216,95.60115961,2.937410103,443.3958,0.4433958,54.4,6.912325286,0.423891526,150,21.70036765,145,20.97702206,140,20.25367647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.866883295,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.78,7.53,0.4275534,0.251404494,58.67307584,99.37475785,3.183216,99.37475785,2.937587763,427.5534,0.4275534,54.4,7.224435591,0.424880156,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.21,0.4062114,0.181451613,57.64826613,94.32643413,3.183216,94.32643412,2.937601568,406.2114,0.4062114,54.4,7.545076283,0.383164729,150,19.88051471,145,19.21783088,140,18.55514706
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.866602383,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.179521277,57.68820479,94.52317629,3.183216,94.52317628,2.937213264,423.1134,0.4231134,54.4,7.2436751,0.399940225,150,20.70772059,145,20.01746324,140,19.32720588
56.78,7.53,0.4275534,0.238666667,58.57716,98.90226601,3.183216,98.90226601,2.937213513,427.5534,0.4275534,54.4,7.224435591,0.422860001,150,20.76286765,145,20.07077206,140,19.37867647
56.78,7.51,0.4264178,0.25,58.6575,99.29802956,3.183216,99.29802957,2.866462487,426.4178,0.4264178,54.4,7.2436751,0.423424473,150,20.70772059,145,20.01746324,140,19.32720588
56.78,7.51,0.4264178,0.238666667,58.57238667,98.87875205,3.183216,98.87875205,2.866893657,426.4178,0.4264178,54.4,7.2436751,0.421636599,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,2.937218114,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,2.866606014,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.89,0.4445226,0.133136095,57.39044379,93.05637333,3.183216,93.05637333,2.866606014,444.5226,0.4445226,54.4,6.894803549,0.41365661,150,21.75551471,145,21.03033088,140,20.30514706
56.34,7.87,0.4433958,0.132743363,57.38469027,93.02803086,3.183216,93.02803087,2.866605818,443.3958,0.4433958,54.4,6.912325286,0.412482382,150,21.70036765,145,20.97702206,140,20.25367647
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,2.866462487,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937026388,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,2.937026388,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.866462487,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937026388,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18,57.6918,94.5408867,3.183216,94.5408867,2.866749737,423.1134,0.4231134,54.4,7.2436751,0.40001516,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.89,0.4445226,0.18907563,57.83180672,95.23057499,3.183216,95.23057499,2.937218114,444.5226,0.4445226,54.4,6.894803549,0.423321428,150,21.75551471,145,21.03033088,140,20.30514706
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937026388,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937217853,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,2.866609529,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.18,57.6954,94.55862069,3.183216,94.55862068,2.866602476,424.2402,0.4242402,54.4,7.224435591,0.401155682,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18,57.6918,94.5408867,3.183216,94.5408867,2.866605818,423.1134,0.4231134,54.4,7.2436751,0.40001516,150,20.70772059,145,20.01746324,140,19.32720588
56.34,8.23,0.4636782,0.222405272,58.17039539,96.89849944,3.183216,96.89849944,2.943695414,463.6782,0.4636782,54.4,6.609963548,0.449297218,150,22.69301471,145,21.93658088,140,21.18014706
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.866606014,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,2.866605818,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937601568,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.125698324,57.28399441,92.53199218,3.183216,92.53199217,2.871332427,423.1134,0.4231134,54.4,7.2436751,0.391515258,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.866606014,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,2.937026388,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.34,8.24,0.4642416,0.210608424,58.07541342,96.43060796,3.183216,96.43060794,2.866882734,464.2416,0.4642416,54.4,6.601941748,0.447670997,150,22.72058824,145,21.96323529,140,21.20588235
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.866606014,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,2.937218114,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.19,0.4050846,0.180965147,57.64113941,94.29132714,3.183216,94.29132714,2.866606014,405.0846,0.4050846,54.4,7.566063978,0.381959645,150,19.82536765,145,19.16452206,140,18.50367647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937213264,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937588513,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,2.866602383,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.78,7.51,0.4264178,0.25,58.6575,99.29802956,3.183216,99.29802957,2.937601568,426.4178,0.4264178,54.4,7.2436751,0.423424473,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.866606014,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18,57.6918,94.5408867,3.183216,94.5408867,2.937217853,423.1134,0.4231134,54.4,7.2436751,0.40001516,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937218114,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.866606014,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.93774715,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937260556,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.88,0.4439592,0.198821797,57.90671576,95.59958502,3.183216,95.59958501,2.937266314,443.9592,0.4439592,54.4,6.903553299,0.424423153,150,21.72794118,145,21.00367647,140,20.27941176
56.34,7.53,0.4242402,0.180481283,57.69902406,94.57647322,3.183216,94.57647323,2.937602354,424.2402,0.4242402,54.4,7.224435591,0.401231419,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,2.937266314,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.93774715,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.179521277,57.68820479,94.52317629,3.183216,94.52317628,3.160870765,423.1134,0.4231134,54.4,7.2436751,0.399940225,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,2.94549318,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.019506435,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,3.076866269,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,3.163313192,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.88,0.4439592,0.189340813,57.83200561,95.23155473,3.183216,95.23155472,3.160870765,443.9592,0.4439592,54.4,6.903553299,0.422789249,150,21.72794118,145,21.00367647,140,20.27941176
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.021348489,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.21,0.4062114,0.180965147,57.64475871,94.30915622,3.183216,94.30915621,2.94549318,406.2114,0.4062114,54.4,7.545076283,0.383094544,150,19.88051471,145,19.21783088,140,18.55514706
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.19,0.4050846,0.180481283,57.63766043,94.2741893,3.183216,94.27418931,3.021348489,405.0846,0.4050846,54.4,7.566063978,0.381890223,150,19.82536765,145,19.16452206,140,18.50367647
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.043191409,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,3.163313192,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.002614143,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18,57.6918,94.5408867,3.183216,94.5408867,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.40001516,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.008876871,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.56,0.4259304,0.190409027,57.77949224,94.97286819,3.183216,94.97286819,3.148272756,425.9304,0.4259304,54.4,7.195767196,0.404518317,150,20.84558824,145,20.15073529,140,19.45588235
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.160870765,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.147524256,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,3.021348489,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,3.020721369,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,2.962185365,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,2.961283163,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.021348489,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.126404494,57.29182584,92.57057065,3.183216,92.57057064,3.021348489,424.2402,0.4242402,54.4,7.224435591,0.392721574,150,20.76286765,145,20.07077206,140,19.37867647
55.89,7.51,0.4197339,0.12605042,56.83663866,90.32826924,3.183216,90.32826924,3.020128395,419.7339,0.4197339,54.4,7.2436751,0.379138367,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.19,0.4050846,0.180965147,57.64113941,94.29132714,3.183216,94.29132714,3.020128395,405.0846,0.4050846,54.4,7.566063978,0.381959645,150,19.82536765,145,19.16452206,140,18.50367647
55.89,7.53,0.4208517,0.12605042,56.83915966,90.340688,3.183216,90.340688,3.009440632,420.8517,0.4208517,54.4,7.224435591,0.380200321,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.0313949,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.020128395,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.021348489,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.251404494,58.23307584,97.20727016,3.183216,97.20727016,3.010005143,424.2402,0.4242402,54.4,7.224435591,0.412392317,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,3.009440632,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18,57.6918,94.5408867,3.183216,94.5408867,3.084488538,423.1134,0.4231134,54.4,7.2436751,0.40001516,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18,57.6918,94.5408867,3.183216,94.5408867,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.40001516,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.021348489,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.56,0.4259304,0.189873418,57.77544304,94.95292137,3.183216,94.95292139,3.020128395,425.9304,0.4259304,54.4,7.195767196,0.404433358,150,20.84558824,145,20.15073529,140,19.45588235
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,2.94549318,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.020128395,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
55.89,7.88,0.4404132,0.132939439,56.93756278,90.8254324,3.183216,90.82543239,3.019506435,440.4132,0.4404132,54.4,6.903553299,0.400007193,150,21.72794118,145,21.00367647,140,20.27941176
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.069594541,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.021348489,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.19,0.4050846,0.180965147,57.64113941,94.29132714,3.183216,94.29132714,3.001496612,405.0846,0.4050846,54.4,7.566063978,0.381959645,150,19.82536765,145,19.16452206,140,18.50367647
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,3.020128395,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.21,0.4062114,0.181451613,57.64826613,94.32643413,3.183216,94.32643412,3.020128395,406.2114,0.4062114,54.4,7.545076283,0.383164729,150,19.88051471,145,19.21783088,140,18.55514706
56.34,7.51,0.4231134,0.17976032,57.69,94.5320197,3.183216,94.53201969,3.020721369,423.1134,0.4231134,54.4,7.2436751,0.399977643,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,3.160870765,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.19,0.4050846,0.180481283,57.63766043,94.2741893,3.183216,94.27418931,3.020128395,405.0846,0.4050846,54.4,7.566063978,0.381890223,150,19.82536765,145,19.16452206,140,18.50367647
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.009440632,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.020128395,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
55.89,7.53,0.4208517,0.126404494,56.84182584,90.35382189,3.183216,90.35382189,3.043141286,420.8517,0.4208517,54.4,7.224435591,0.380255595,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.18907563,57.7637395,94.89526845,3.183216,94.89526846,3.010573428,424.2402,0.4242402,54.4,7.224435591,0.402583877,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020721369,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.008876871,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.019506435,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,6.88,0.3876192,0.173745174,57.5353668,93.77027978,3.183216,93.77027977,3.021348489,387.6192,0.3876192,54.4,7.906976744,0.363471608,150,18.97058824,145,18.33823529,140,17.70588235
56.34,7.19,0.4050846,0.180965147,57.64113941,94.29132714,3.183216,94.29132714,3.020721369,405.0846,0.4050846,54.4,7.566063978,0.381959645,150,19.82536765,145,19.16452206,140,18.50367647
55.89,7.21,0.4029669,0.180107527,57.18857527,92.06194714,3.183216,92.06194713,3.019506435,402.9669,0.4029669,54.4,7.545076283,0.370979174,150,19.88051471,145,19.21783088,140,18.55514706
56.34,7.19,0.4050846,0.180481283,57.63766043,94.2741893,3.183216,94.27418931,3.031426087,405.0846,0.4050846,54.4,7.566063978,0.381890223,150,19.82536765,145,19.16452206,140,18.50367647
56.34,7.19,0.4050846,0.180481283,57.63766043,94.2741893,3.183216,94.27418931,3.021348489,405.0846,0.4050846,54.4,7.566063978,0.381890223,150,19.82536765,145,19.16452206,140,18.50367647
56.34,7.89,0.4445226,0.199704142,57.91566568,95.6436733,3.183216,95.64367329,3.00206415,444.5226,0.4445226,54.4,6.894803549,0.425157743,150,21.75551471,145,21.03033088,140,20.30514706
56.34,7.51,0.4231134,0.25070028,58.2227591,97.15644879,3.183216,97.15644879,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.411081954,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,3.000951078,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.180481283,57.69902406,94.57647322,3.183216,94.57647323,3.021348489,424.2402,0.4242402,54.4,7.224435591,0.401231419,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.87,0.4433958,0.199115044,57.9070354,95.6011596,3.183216,95.60115961,3.020128395,443.3958,0.4433958,54.4,6.912325286,0.423891526,150,21.70036765,145,20.97702206,140,20.25367647
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020721369,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,3.020128395,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
55.89,7.53,0.4208517,0.126404494,56.84182584,90.35382189,3.183216,90.35382189,3.009440632,420.8517,0.4208517,54.4,7.224435591,0.380255595,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.53,0.4242402,0.180481283,57.69902406,94.57647322,3.183216,94.57647323,3.021348489,424.2402,0.4242402,54.4,7.224435591,0.401231419,150,20.76286765,145,20.07077206,140,19.37867647
